,ID,compactness,red_std,green_std,blue_std,lesiontype,flatness,cornerness,edgeness
0,ISIC_0000071,404.342780037173,4.862806105629577,11.875060020591102,16.18667903611014,0,0.5329030022094182,0.2144724111539517,0.19559849239700214
1,ISIC_0000072,426.58969183467934,42.90773597073372,37.99700084303575,33.950214178876614,0,0.521529941884949,0.23000715910048009,0.19192706139981472
2,ISIC_0000073,473.63644609625015,39.71252715395408,37.33371904281686,38.139659417433236,0,0.4188709574440117,0.24317117414867367,0.2682405609533503
3,ISIC_0000075,461.31701322906355,12.80784758706509,22.286774251169213,25.61609403992379,0,0.5093507589760009,0.25801233738827434,0.17678392106067442
4,ISIC_0000079,621.9709751179586,13.653704739153733,22.558493742403524,32.18101271977476,0,0.5307279024182163,0.2310559510872325,0.18051817470876794
5,ISIC_0000081,827.5395771899598,7.432311263250508,15.65771110736758,19.777596373546146,0,0.816836199812994,0.08872864307369732,0.07002521746521974
6,ISIC_0000082,572.5917182055384,35.27586461824921,39.9978619861847,32.633114565859756,0,0.6662081239919168,0.15441517269508148,0.14248070351075598
7,ISIC_0000088,758.0592677333435,46.46362640336472,41.34113993100654,33.52876018194067,0,0.6570091459932467,0.16120435423079063,0.14355665800779593
8,ISIC_0000094,426.10197023303,9.831741107975798,17.36077105056018,19.865290180858157,0,0.7492619689385188,0.12829439952081462,0.0911628802464382
	2	
